Finding Name,Severity,Status,Description,Recommendation,Vulnerability References,Affected Components,Tags
IMDSv2 Not Enforced,High,Open,"Nodegroup 'main-20260216030203877900000024' launch template has HttpTokens='optional'. IMDSv1 is accessible, enabling SSRF-based credential theft from pods.",Update the launch template to set MetadataOptions.HttpTokens to 'required' to enforce IMDSv2.,AWS Best Practice,eks-enterprise-lab/main-20260216030203877900000024,"EKS,Kubernetes,Security,EKS Nodegroup"
IRSA Trust Policy Missing Subject Condition,High,Open,IAM role 'eks-enterprise-lab-irsa-overpermissive' (arn:aws:iam::123456789012:role/eks-enterprise-lab-irsa-overpermissive) used by insecure-app/insecure-sa has an OIDC trust policy with ':aud' condition but no ':sub' condition. Any service account in the cluster can assume this role.,"Add a StringEquals condition for ':sub' (e.g., 'system:serviceaccount:<namespace>:<sa-name>') to restrict which service accounts can assume this role.",AWS Best Practice / IRSA,eks-enterprise-lab-irsa-overpermissive,"EKS,Kubernetes,Security,IAM Role"
IRSA Role Has Overly Broad Policy,High,Open,IRSA role 'eks-enterprise-lab-irsa-overpermissive' (arn:aws:iam::123456789012:role/eks-enterprise-lab-irsa-overpermissive) used by insecure-app/insecure-sa has 'AdministratorAccess' attached. Pods using this role have excessive AWS permissions.,Remove 'AdministratorAccess' and create a scoped policy with only the permissions the workload needs.,AWS Best Practice / Least Privilege,eks-enterprise-lab-irsa-overpermissive,"EKS,Kubernetes,Security,IAM Role"
Namespace Lacks ResourceQuota,Low,Open,Namespace 'default' does not have any ResourceQuota objects defined. This can lead to resource contention issues or potential DoS if workloads consume excessive resources.,"Define appropriate ResourceQuotas for the namespace to limit the total amount of CPU, memory, storage, and object counts that can be consumed.",Best Practice / Resource Management,default/default,"EKS,Kubernetes,Security,Namespace"
Namespace Lacks LimitRange,Low,Open,"Namespace 'default' does not have any LimitRange objects defined. This means default resource requests/limits are not enforced for containers, potentially leading to resource exhaustion or scheduling issues.","Define a LimitRange for the namespace to set default CPU/memory requests and limits for containers, and potentially enforce min/max values.",Best Practice / Resource Management,default/default,"EKS,Kubernetes,Security,Namespace"
PSA Label Missing,Medium,Open,Namespace 'default' lacks the 'pod-security.kubernetes.io/enforce' label.,"Apply Pod Security Admission labels to namespaces, enforcing at least the 'restricted' standard.",CIS 5.2.1,default/default,"EKS,Kubernetes,Security,Namespace"
Namespace Lacks ResourceQuota,Low,Open,Namespace 'insecure-app' does not have any ResourceQuota objects defined. This can lead to resource contention issues or potential DoS if workloads consume excessive resources.,"Define appropriate ResourceQuotas for the namespace to limit the total amount of CPU, memory, storage, and object counts that can be consumed.",Best Practice / Resource Management,insecure-app/insecure-app,"EKS,Kubernetes,Security,Namespace"
Namespace Lacks LimitRange,Low,Open,"Namespace 'insecure-app' does not have any LimitRange objects defined. This means default resource requests/limits are not enforced for containers, potentially leading to resource exhaustion or scheduling issues.","Define a LimitRange for the namespace to set default CPU/memory requests and limits for containers, and potentially enforce min/max values.",Best Practice / Resource Management,insecure-app/insecure-app,"EKS,Kubernetes,Security,Namespace"
PSA Label Missing,Medium,Open,Namespace 'insecure-app' lacks the 'pod-security.kubernetes.io/enforce' label.,"Apply Pod Security Admission labels to namespaces, enforcing at least the 'restricted' standard.",CIS 5.2.1,insecure-app/insecure-app,"EKS,Kubernetes,Security,Namespace"
Namespace Lacks ResourceQuota,Low,Open,Namespace 'psa-warn' does not have any ResourceQuota objects defined. This can lead to resource contention issues or potential DoS if workloads consume excessive resources.,"Define appropriate ResourceQuotas for the namespace to limit the total amount of CPU, memory, storage, and object counts that can be consumed.",Best Practice / Resource Management,psa-warn/psa-warn,"EKS,Kubernetes,Security,Namespace"
Namespace Lacks LimitRange,Low,Open,"Namespace 'psa-warn' does not have any LimitRange objects defined. This means default resource requests/limits are not enforced for containers, potentially leading to resource exhaustion or scheduling issues.","Define a LimitRange for the namespace to set default CPU/memory requests and limits for containers, and potentially enforce min/max values.",Best Practice / Resource Management,psa-warn/psa-warn,"EKS,Kubernetes,Security,Namespace"
PSA Label Missing,Medium,Open,Namespace 'psa-warn' lacks the 'pod-security.kubernetes.io/enforce' label.,"Apply Pod Security Admission labels to namespaces, enforcing at least the 'restricted' standard.",CIS 5.2.1,psa-warn/psa-warn,"EKS,Kubernetes,Security,Namespace"
Container Running As Root,Medium,Open,Container 'job' in CronJob 'insecure-cronjob' (1 pods) (namespace 'insecure-app') is explicitly configured to run as root (runAsUser: 0).,Configure container's securityContext with runAsNonRoot: true and specify a runAsUser > 0.,CIS 5.2.7,insecure-app/insecure-cronjob/job,"EKS,Kubernetes,Security,Container"
Container Missing Resource Limits,Low,Open,Container 'job' in CronJob 'insecure-cronjob' (1 pods) (namespace 'insecure-app') lacks CPU and/or memory limits.,Define CPU and memory limits for all containers.,Best Practice,insecure-app/insecure-cronjob/job,"EKS,Kubernetes,Security,Container"
Container Allows Privilege Escalation,Medium,Open,Container 'job' in CronJob 'insecure-cronjob' (1 pods) (namespace 'insecure-app') allows privilege escalation (allowPrivilegeEscalation is not set to false).,Set securityContext.allowPrivilegeEscalation: false.,CIS 5.2.6,insecure-app/insecure-cronjob/job,"EKS,Kubernetes,Security,Container"
Capabilities Not Dropped,Low,Open,Container 'job' in CronJob 'insecure-cronjob' (1 pods) (namespace 'insecure-app') does not drop all Linux capabilities (capabilities.drop does not include 'ALL').,Set securityContext.capabilities.drop: ['ALL'] and only add back the specific capabilities required.,CIS 5.2.10,insecure-app/insecure-cronjob/job,"EKS,Kubernetes,Security,Container"
Seccomp Profile Not Set,Low,Open,Container 'job' in CronJob 'insecure-cronjob' (1 pods) (namespace 'insecure-app') does not have a seccomp profile configured. The container runtime default may or may not apply.,Explicitly set securityContext.seccompProfile.type to 'RuntimeDefault' to ensure syscall filtering is active.,CIS 5.6.2,insecure-app/insecure-cronjob/job,"EKS,Kubernetes,Security,Container"
Container Root Filesystem Writable,Low,Open,Container 'job' in CronJob 'insecure-cronjob' (1 pods) (namespace 'insecure-app') does not have a read-only root filesystem.,Set securityContext.readOnlyRootFilesystem: true and use volumeMounts for writable directories.,CIS 5.6.3,insecure-app/insecure-cronjob/job,"EKS,Kubernetes,Security,Container"
Image Uses Latest Tag,Low,Open,Container 'job' in CronJob 'insecure-cronjob' (1 pods) (namespace 'insecure-app') uses image 'busybox:latest' potentially with 'latest' tag or no tag.,"Use specific, immutable image tags (e.g., git SHA or semantic version) instead of 'latest'.",Best Practice,insecure-app/insecure-cronjob/job,"EKS,Kubernetes,Security,Container"
Pod Using Host Network,High,Open,DaemonSet 'net-debug' (1 pods) in namespace 'insecure-app' is configured with hostNetwork: true.,"Avoid using hostNetwork. If required, isolate the node.",CIS 5.2.5,insecure-app/net-debug,"EKS,Kubernetes,Security,Pod"
Container Running As Root,Medium,Open,Container 'debug' in DaemonSet 'net-debug' (1 pods) (namespace 'insecure-app') is explicitly configured to run as root (runAsUser: 0).,Configure container's securityContext with runAsNonRoot: true and specify a runAsUser > 0.,CIS 5.2.7,insecure-app/net-debug/debug,"EKS,Kubernetes,Security,Container"
Container Missing Resource Limits,Low,Open,Container 'debug' in DaemonSet 'net-debug' (1 pods) (namespace 'insecure-app') lacks CPU and/or memory limits.,Define CPU and memory limits for all containers.,Best Practice,insecure-app/net-debug/debug,"EKS,Kubernetes,Security,Container"
Container Allows Privilege Escalation,Medium,Open,Container 'debug' in DaemonSet 'net-debug' (1 pods) (namespace 'insecure-app') allows privilege escalation (allowPrivilegeEscalation is not set to false).,Set securityContext.allowPrivilegeEscalation: false.,CIS 5.2.6,insecure-app/net-debug/debug,"EKS,Kubernetes,Security,Container"
Dangerous Capabilities Added,High,Open,"Container 'debug' in DaemonSet 'net-debug' (1 pods) (namespace 'insecure-app') adds dangerous Linux capabilities: ['SYS_ADMIN', 'NET_ADMIN', 'SYS_PTRACE']. SYS_ADMIN is effectively equivalent to privileged mode.",Remove dangerous capabilities from securityContext.capabilities.add. Use the minimum capabilities required.,CIS 5.2.9,insecure-app/net-debug/debug,"EKS,Kubernetes,Security,Container"
Capabilities Not Dropped,Low,Open,Container 'debug' in DaemonSet 'net-debug' (1 pods) (namespace 'insecure-app') does not drop all Linux capabilities (capabilities.drop does not include 'ALL').,Set securityContext.capabilities.drop: ['ALL'] and only add back the specific capabilities required.,CIS 5.2.10,insecure-app/net-debug/debug,"EKS,Kubernetes,Security,Container"
Seccomp Profile Unconfined,Medium,Open,"Container 'debug' in DaemonSet 'net-debug' (1 pods) (namespace 'insecure-app') has seccomp profile set to 'Unconfined', disabling syscall filtering.",Set securityContext.seccompProfile.type to 'RuntimeDefault' or 'Localhost' to restrict available syscalls.,CIS 5.6.2,insecure-app/net-debug/debug,"EKS,Kubernetes,Security,Container"
Container Root Filesystem Writable,Low,Open,Container 'debug' in DaemonSet 'net-debug' (1 pods) (namespace 'insecure-app') does not have a read-only root filesystem.,Set securityContext.readOnlyRootFilesystem: true and use volumeMounts for writable directories.,CIS 5.6.3,insecure-app/net-debug/debug,"EKS,Kubernetes,Security,Container"
Image Uses Latest Tag,Low,Open,Container 'debug' in DaemonSet 'net-debug' (1 pods) (namespace 'insecure-app') uses image 'alpine:latest' potentially with 'latest' tag or no tag.,"Use specific, immutable image tags (e.g., git SHA or semantic version) instead of 'latest'.",Best Practice,insecure-app/net-debug/debug,"EKS,Kubernetes,Security,Container"
Pod Using Host Network,High,Open,Deployment 'vulnerable-app' (1 pods) in namespace 'insecure-app' is configured with hostNetwork: true.,"Avoid using hostNetwork. If required, isolate the node.",CIS 5.2.5,insecure-app/vulnerable-app,"EKS,Kubernetes,Security,Pod"
Pod Using Host PID Namespace,Medium,Open,Deployment 'vulnerable-app' (1 pods) in namespace 'insecure-app' is configured with hostPID: true.,Avoid using hostPID unless essential.,CIS 5.2.3,insecure-app/vulnerable-app,"EKS,Kubernetes,Security,Pod"
Pod Using HostPath Volume,High,Open,Deployment 'vulnerable-app' (1 pods) in namespace 'insecure-app' uses sensitive hostPath volume: '/'.,"Avoid hostPath volumes. If necessary, use readOnly mounts and specific paths. Consider alternatives like PVs.",CIS 5.2.12,insecure-app/vulnerable-app,"EKS,Kubernetes,Security,Pod"
Privileged Container,Critical,Open,Container 'app' in Deployment 'vulnerable-app' (1 pods) (namespace 'insecure-app') is running in privileged mode.,Do not run privileged containers. Refactor the application if possible.,CIS 5.2.2,insecure-app/vulnerable-app/app,"EKS,Kubernetes,Security,Container"
Container Running As Root,Medium,Open,Container 'app' in Deployment 'vulnerable-app' (1 pods) (namespace 'insecure-app') is explicitly configured to run as root (runAsUser: 0).,Configure container's securityContext with runAsNonRoot: true and specify a runAsUser > 0.,CIS 5.2.7,insecure-app/vulnerable-app/app,"EKS,Kubernetes,Security,Container"
Container Missing Resource Limits,Low,Open,Container 'app' in Deployment 'vulnerable-app' (1 pods) (namespace 'insecure-app') lacks CPU and/or memory limits.,Define CPU and memory limits for all containers.,Best Practice,insecure-app/vulnerable-app/app,"EKS,Kubernetes,Security,Container"
Container Allows Privilege Escalation,Medium,Open,Container 'app' in Deployment 'vulnerable-app' (1 pods) (namespace 'insecure-app') allows privilege escalation (allowPrivilegeEscalation is not set to false).,Set securityContext.allowPrivilegeEscalation: false.,CIS 5.2.6,insecure-app/vulnerable-app/app,"EKS,Kubernetes,Security,Container"
Capabilities Not Dropped,Low,Open,Container 'app' in Deployment 'vulnerable-app' (1 pods) (namespace 'insecure-app') does not drop all Linux capabilities (capabilities.drop does not include 'ALL').,Set securityContext.capabilities.drop: ['ALL'] and only add back the specific capabilities required.,CIS 5.2.10,insecure-app/vulnerable-app/app,"EKS,Kubernetes,Security,Container"
Seccomp Profile Not Set,Low,Open,Container 'app' in Deployment 'vulnerable-app' (1 pods) (namespace 'insecure-app') does not have a seccomp profile configured. The container runtime default may or may not apply.,Explicitly set securityContext.seccompProfile.type to 'RuntimeDefault' to ensure syscall filtering is active.,CIS 5.6.2,insecure-app/vulnerable-app/app,"EKS,Kubernetes,Security,Container"
Container Root Filesystem Writable,Low,Open,Container 'app' in Deployment 'vulnerable-app' (1 pods) (namespace 'insecure-app') does not have a read-only root filesystem.,Set securityContext.readOnlyRootFilesystem: true and use volumeMounts for writable directories.,CIS 5.6.3,insecure-app/vulnerable-app/app,"EKS,Kubernetes,Security,Container"
Image Uses Latest Tag,Low,Open,Container 'app' in Deployment 'vulnerable-app' (1 pods) (namespace 'insecure-app') uses image 'nginx:latest' potentially with 'latest' tag or no tag.,"Use specific, immutable image tags (e.g., git SHA or semantic version) instead of 'latest'.",Best Practice,insecure-app/vulnerable-app/app,"EKS,Kubernetes,Security,Container"
Pod Using Host Network,High,Open,DaemonSet 'aws-node' (1 pods) in namespace 'kube-system' is configured with hostNetwork: true.,"Avoid using hostNetwork. If required, isolate the node.",CIS 5.2.5,kube-system/aws-node,"EKS,Kubernetes,Security,Pod"
Pod Using HostPath Volume,Medium,Open,DaemonSet 'aws-node' (1 pods) in namespace 'kube-system' uses hostPath volume: '/sys/fs/bpf'.,"Avoid hostPath volumes. If necessary, use readOnly mounts and specific paths. Consider alternatives like PVs.",CIS 5.2.12,kube-system/aws-node,"EKS,Kubernetes,Security,Pod"
Pod Using HostPath Volume,Medium,Open,DaemonSet 'aws-node' (1 pods) in namespace 'kube-system' uses hostPath volume: '/opt/cni/bin'.,"Avoid hostPath volumes. If necessary, use readOnly mounts and specific paths. Consider alternatives like PVs.",CIS 5.2.12,kube-system/aws-node,"EKS,Kubernetes,Security,Pod"
Pod Using HostPath Volume,Medium,Open,DaemonSet 'aws-node' (1 pods) in namespace 'kube-system' uses hostPath volume: '/etc/cni/net.d'.,"Avoid hostPath volumes. If necessary, use readOnly mounts and specific paths. Consider alternatives like PVs.",CIS 5.2.12,kube-system/aws-node,"EKS,Kubernetes,Security,Pod"
Pod Using HostPath Volume,Medium,Open,DaemonSet 'aws-node' (1 pods) in namespace 'kube-system' uses hostPath volume: '/var/log/aws-routed-eni'.,"Avoid hostPath volumes. If necessary, use readOnly mounts and specific paths. Consider alternatives like PVs.",CIS 5.2.12,kube-system/aws-node,"EKS,Kubernetes,Security,Pod"
Pod Using HostPath Volume,High,Open,DaemonSet 'aws-node' (1 pods) in namespace 'kube-system' uses sensitive hostPath volume: '/var/run/aws-node'.,"Avoid hostPath volumes. If necessary, use readOnly mounts and specific paths. Consider alternatives like PVs.",CIS 5.2.12,kube-system/aws-node,"EKS,Kubernetes,Security,Pod"
Pod Using HostPath Volume,Medium,Open,DaemonSet 'aws-node' (1 pods) in namespace 'kube-system' uses hostPath volume: '/run/xtables.lock'.,"Avoid hostPath volumes. If necessary, use readOnly mounts and specific paths. Consider alternatives like PVs.",CIS 5.2.12,kube-system/aws-node,"EKS,Kubernetes,Security,Pod"
Container May Run As Root,Low,Open,Container 'aws-node' in DaemonSet 'aws-node' (1 pods) (namespace 'kube-system') has no runAsNonRoot or runAsUser specified (default allows root). Image may run as root.,Explicitly set securityContext.runAsNonRoot: true and specify a runAsUser > 0.,CIS 5.2.7,kube-system/aws-node/aws-node,"EKS,Kubernetes,Security,Container"
Container Missing Resource Limits,Low,Open,Container 'aws-node' in DaemonSet 'aws-node' (1 pods) (namespace 'kube-system') lacks CPU and/or memory limits.,Define CPU and memory limits for all containers.,Best Practice,kube-system/aws-node/aws-node,"EKS,Kubernetes,Security,Container"
Container Allows Privilege Escalation,Medium,Open,Container 'aws-node' in DaemonSet 'aws-node' (1 pods) (namespace 'kube-system') allows privilege escalation (allowPrivilegeEscalation is not set to false).,Set securityContext.allowPrivilegeEscalation: false.,CIS 5.2.6,kube-system/aws-node/aws-node,"EKS,Kubernetes,Security,Container"
Dangerous Capabilities Added,Medium,Open,Container 'aws-node' in DaemonSet 'aws-node' (1 pods) (namespace 'kube-system') adds dangerous Linux capabilities: ['NET_ADMIN'].,Remove dangerous capabilities from securityContext.capabilities.add. Use the minimum capabilities required.,CIS 5.2.9,kube-system/aws-node/aws-node,"EKS,Kubernetes,Security,Container"
Capabilities Not Dropped,Low,Open,Container 'aws-node' in DaemonSet 'aws-node' (1 pods) (namespace 'kube-system') does not drop all Linux capabilities (capabilities.drop does not include 'ALL').,Set securityContext.capabilities.drop: ['ALL'] and only add back the specific capabilities required.,CIS 5.2.10,kube-system/aws-node/aws-node,"EKS,Kubernetes,Security,Container"
Seccomp Profile Not Set,Low,Open,Container 'aws-node' in DaemonSet 'aws-node' (1 pods) (namespace 'kube-system') does not have a seccomp profile configured. The container runtime default may or may not apply.,Explicitly set securityContext.seccompProfile.type to 'RuntimeDefault' to ensure syscall filtering is active.,CIS 5.6.2,kube-system/aws-node/aws-node,"EKS,Kubernetes,Security,Container"
Container Root Filesystem Writable,Low,Open,Container 'aws-node' in DaemonSet 'aws-node' (1 pods) (namespace 'kube-system') does not have a read-only root filesystem.,Set securityContext.readOnlyRootFilesystem: true and use volumeMounts for writable directories.,CIS 5.6.3,kube-system/aws-node/aws-node,"EKS,Kubernetes,Security,Container"
Privileged Container,Critical,Open,Container 'aws-eks-nodeagent' in DaemonSet 'aws-node' (1 pods) (namespace 'kube-system') is running in privileged mode.,Do not run privileged containers. Refactor the application if possible.,CIS 5.2.2,kube-system/aws-node/aws-eks-nodeagent,"EKS,Kubernetes,Security,Container"
Container May Run As Root,Low,Open,Container 'aws-eks-nodeagent' in DaemonSet 'aws-node' (1 pods) (namespace 'kube-system') has no runAsNonRoot or runAsUser specified (default allows root). Image may run as root.,Explicitly set securityContext.runAsNonRoot: true and specify a runAsUser > 0.,CIS 5.2.7,kube-system/aws-node/aws-eks-nodeagent,"EKS,Kubernetes,Security,Container"
Container Missing Resource Limits,Low,Open,Container 'aws-eks-nodeagent' in DaemonSet 'aws-node' (1 pods) (namespace 'kube-system') lacks CPU and/or memory limits.,Define CPU and memory limits for all containers.,Best Practice,kube-system/aws-node/aws-eks-nodeagent,"EKS,Kubernetes,Security,Container"
Container Allows Privilege Escalation,Medium,Open,Container 'aws-eks-nodeagent' in DaemonSet 'aws-node' (1 pods) (namespace 'kube-system') allows privilege escalation (allowPrivilegeEscalation is not set to false).,Set securityContext.allowPrivilegeEscalation: false.,CIS 5.2.6,kube-system/aws-node/aws-eks-nodeagent,"EKS,Kubernetes,Security,Container"
Dangerous Capabilities Added,Medium,Open,Container 'aws-eks-nodeagent' in DaemonSet 'aws-node' (1 pods) (namespace 'kube-system') adds dangerous Linux capabilities: ['NET_ADMIN'].,Remove dangerous capabilities from securityContext.capabilities.add. Use the minimum capabilities required.,CIS 5.2.9,kube-system/aws-node/aws-eks-nodeagent,"EKS,Kubernetes,Security,Container"
Capabilities Not Dropped,Low,Open,Container 'aws-eks-nodeagent' in DaemonSet 'aws-node' (1 pods) (namespace 'kube-system') does not drop all Linux capabilities (capabilities.drop does not include 'ALL').,Set securityContext.capabilities.drop: ['ALL'] and only add back the specific capabilities required.,CIS 5.2.10,kube-system/aws-node/aws-eks-nodeagent,"EKS,Kubernetes,Security,Container"
Seccomp Profile Not Set,Low,Open,Container 'aws-eks-nodeagent' in DaemonSet 'aws-node' (1 pods) (namespace 'kube-system') does not have a seccomp profile configured. The container runtime default may or may not apply.,Explicitly set securityContext.seccompProfile.type to 'RuntimeDefault' to ensure syscall filtering is active.,CIS 5.6.2,kube-system/aws-node/aws-eks-nodeagent,"EKS,Kubernetes,Security,Container"
Container Root Filesystem Writable,Low,Open,Container 'aws-eks-nodeagent' in DaemonSet 'aws-node' (1 pods) (namespace 'kube-system') does not have a read-only root filesystem.,Set securityContext.readOnlyRootFilesystem: true and use volumeMounts for writable directories.,CIS 5.6.3,kube-system/aws-node/aws-eks-nodeagent,"EKS,Kubernetes,Security,Container"
Privileged Container,Critical,Open,Container 'aws-vpc-cni-init' in DaemonSet 'aws-node' (1 pods) (namespace 'kube-system') is running in privileged mode.,Do not run privileged containers. Refactor the application if possible.,CIS 5.2.2,kube-system/aws-node/aws-vpc-cni-init,"EKS,Kubernetes,Security,Container"
Container May Run As Root,Low,Open,Container 'aws-vpc-cni-init' in DaemonSet 'aws-node' (1 pods) (namespace 'kube-system') has no runAsNonRoot or runAsUser specified (default allows root). Image may run as root.,Explicitly set securityContext.runAsNonRoot: true and specify a runAsUser > 0.,CIS 5.2.7,kube-system/aws-node/aws-vpc-cni-init,"EKS,Kubernetes,Security,Container"
Container Missing Resource Limits,Low,Open,Container 'aws-vpc-cni-init' in DaemonSet 'aws-node' (1 pods) (namespace 'kube-system') lacks CPU and/or memory limits.,Define CPU and memory limits for all containers.,Best Practice,kube-system/aws-node/aws-vpc-cni-init,"EKS,Kubernetes,Security,Container"
Container Allows Privilege Escalation,Medium,Open,Container 'aws-vpc-cni-init' in DaemonSet 'aws-node' (1 pods) (namespace 'kube-system') allows privilege escalation (allowPrivilegeEscalation is not set to false).,Set securityContext.allowPrivilegeEscalation: false.,CIS 5.2.6,kube-system/aws-node/aws-vpc-cni-init,"EKS,Kubernetes,Security,Container"
Capabilities Not Dropped,Low,Open,Container 'aws-vpc-cni-init' in DaemonSet 'aws-node' (1 pods) (namespace 'kube-system') does not drop all Linux capabilities (capabilities.drop does not include 'ALL').,Set securityContext.capabilities.drop: ['ALL'] and only add back the specific capabilities required.,CIS 5.2.10,kube-system/aws-node/aws-vpc-cni-init,"EKS,Kubernetes,Security,Container"
Seccomp Profile Not Set,Low,Open,Container 'aws-vpc-cni-init' in DaemonSet 'aws-node' (1 pods) (namespace 'kube-system') does not have a seccomp profile configured. The container runtime default may or may not apply.,Explicitly set securityContext.seccompProfile.type to 'RuntimeDefault' to ensure syscall filtering is active.,CIS 5.6.2,kube-system/aws-node/aws-vpc-cni-init,"EKS,Kubernetes,Security,Container"
Container Root Filesystem Writable,Low,Open,Container 'aws-vpc-cni-init' in DaemonSet 'aws-node' (1 pods) (namespace 'kube-system') does not have a read-only root filesystem.,Set securityContext.readOnlyRootFilesystem: true and use volumeMounts for writable directories.,CIS 5.6.3,kube-system/aws-node/aws-vpc-cni-init,"EKS,Kubernetes,Security,Container"
Container May Run As Root,Low,Open,Container 'coredns' in Deployment 'coredns' (2 pods) (namespace 'kube-system') has no runAsNonRoot or runAsUser specified (default allows root). Image may run as root.,Explicitly set securityContext.runAsNonRoot: true and specify a runAsUser > 0.,CIS 5.2.7,kube-system/coredns/coredns,"EKS,Kubernetes,Security,Container"
Container Missing Resource Limits,Low,Open,Container 'coredns' in Deployment 'coredns' (2 pods) (namespace 'kube-system') lacks CPU and/or memory limits.,Define CPU and memory limits for all containers.,Best Practice,kube-system/coredns/coredns,"EKS,Kubernetes,Security,Container"
Seccomp Profile Not Set,Low,Open,Container 'coredns' in Deployment 'coredns' (2 pods) (namespace 'kube-system') does not have a seccomp profile configured. The container runtime default may or may not apply.,Explicitly set securityContext.seccompProfile.type to 'RuntimeDefault' to ensure syscall filtering is active.,CIS 5.6.2,kube-system/coredns/coredns,"EKS,Kubernetes,Security,Container"
Pod Using Host Network,High,Open,DaemonSet 'kube-proxy' (1 pods) in namespace 'kube-system' is configured with hostNetwork: true.,"Avoid using hostNetwork. If required, isolate the node.",CIS 5.2.5,kube-system/kube-proxy,"EKS,Kubernetes,Security,Pod"
Pod Using HostPath Volume,Medium,Open,DaemonSet 'kube-proxy' (1 pods) in namespace 'kube-system' uses hostPath volume: '/var/log'.,"Avoid hostPath volumes. If necessary, use readOnly mounts and specific paths. Consider alternatives like PVs.",CIS 5.2.12,kube-system/kube-proxy,"EKS,Kubernetes,Security,Pod"
